last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_opp_2stars,n_2star_percent,n_fieldout_2stars,n_1star_percent,n_fieldout_1stars,n_opp_1stars,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,
Pujols, Albert,405395,2022,91.2,16.4,34.5,31,12,7,22.5,26.7,29.1,2.7,47.3,102.064436899,7.425491822,63.5,12,34.9,36,64,93,258,53.4,739,71.7,6.6,128,727,526,1385,88,49,410,46.6,646,42.9,594,21.3,48.2,52.3,30.2,17.4,258,60.6,38,98,29.5,76,20.5,53,12,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,22.6,
Cabrera, Miguel,408234,2022,89.9,5,35.2,14,4.7,3.7,28.9,18.3,41.9,2,38.2,99.360961867,5.99969786,71,19.4,31.6,42.3,57.7,116,274,52.7,866,81,7.1,132,1017,492,1643,80.6,107,551,47.3,776,43.7,717,27,50.2,31.6,39.9,28.6,301,61.9,52.5,158,19.6,59,25.9,78,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,23.1,
Molina, Yadier,425877,2022,84.7,16.9,34.1,7,3.1,4.9,27.4,31.8,30,2.7,26,95.0195225,3.560423363,75.2,18.5,41.3,28.6,71.4,57,199,48.9,482,74.6,7.2,75,542,369,986,81,70,379,51.1,504,45.5,449,22,58.6,36.3,38.6,25.1,223,70,39,87,29.6,66,20.2,45,11.2,25,19,2.05,2.06,2.03,1,1.95,,1.95,0.77,79.9,,,,,,,,,,,,,,,,,,,,,,,5.07,21.8,
Cano, Robinson,429664,2022,88.2,5.8,29.3,3,4,4,22.7,22.7,40,6.7,41.3,100.261988108,6.247323243,77.3,12.8,40,44,56,37,84,55,210,72,6.5,51,224,106,382,87.2,17,133,45,172,45.8,175,24.9,56.8,38.7,24,37.3,75,58.7,54.7,41,18.7,14,20,15,6.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,24.3,
Suzuki, Kurt,435559,2022,85.2,24.1,31,4,3.5,7.1,20.4,39.8,23.9,5.3,26.5,95.157941429,3.58600375,68,12.6,27.2,43,57,34,79,48.9,290,76.2,10.6,42,347,204,593,87.4,26,206,51.1,303,42,249,21.1,48.1,45.1,38.9,15.9,113,61.6,30.1,34,30.1,34,21.2,24,18.6,21,16,2.07,2.07,2.07,1,1.63,1.63,,0.81,80.1,,,,,,,,,,,,,,,,,,,,,,,5.01,24.2,
Cruz Jr., Nelson,443558,2022,90.9,7.2,28,31,9.3,4.5,25.6,17.2,39.8,2.4,46.1,102.29838061,7.468978262,72.5,23.3,31,50.6,49.4,163,322,52.2,1040,81,6.1,224,1096,672,1992,76.7,161,690,47.8,952,44.4,885,32,50.8,32.8,37.3,29.8,332,61.5,53,176,19.3,64,22.9,76,4.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,25.5,
Peralta, David,444482,2022,90.3,15.1,35,28,8.5,9.1,26.9,25.7,28.1,1.8,44.4,101.233296566,6.9223429,69,14.3,33.1,49.5,50.2,155,313,51.7,947,70.5,7,341,969,520,1830,85.7,87,609,48.3,883,44.4,813,26.2,50.4,38.1,39.6,22.4,331,61,36.3,120,28.4,94,26.3,87,9.1,30,,,,,,,,,,,5,0,17,0.0,5,11,45.5,10,12,83.3,16,87.5,14,100.0,16,16,0.4,0.4,-0.2,0.6,34.3,,4.44,27.6,
Pina, Manny,444489,2022,81.9,9,14.3,1,7.1,0,7.1,28.6,35.7,14.3,21.4,93.087495714,3.797813077,67.7,9.5,23.5,25,75,2,8,52.3,34,,0,6,36,23,65,90.5,2,21,47.7,31,53.8,35,13.8,44.6,35.7,35.7,28.6,14,52.9,57.1,8,28.6,4,7.1,1,7.1,1,1,1.99,1.99,,0,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,24.2,
Escobar, Alcides,444876,2022,81.8,15.7,39.1,1,1.1,1.1,27.2,34.8,27.2,8.7,17.4,92.492630217,2.550370549,70.9,14.9,36.3,34.8,62.9,31,89,48,245,70.4,5.3,54,262,194,510,82.4,28,188,52,265,43.7,223,21.3,54.3,26.1,45.7,28.3,92,64.9,38,35,20.7,19,30.4,28,10.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.39,28.2,
Longoria, Evan,446334,2022,91.1,18.2,33.3,23,12.4,10.2,23.1,25.8,25.3,3.2,46.8,101.592486559,7.291511667,62.8,22.5,26,46.1,53.9,71,154,50,593,74.1,7.2,159,640,383,1187,77.5,84,373,50,594,44,522,29.4,44.4,43,32.8,24.2,186,58.9,37.1,69,29,54,24.2,45,9.7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,25.3,
Blackmon, Charlie,453568,2022,86.2,12.4,36.7,19,4.4,4,27.1,25.2,32.2,6.5,30.6,97.426435333,4.732128429,70,16.6,32.1,32.6,67.1,106,325,48.7,1014,82.7,7.8,286,1293,503,2085,83.3,124,748,51.3,1068,43.9,913,21.4,51.5,43,36,21,428,59.7,44.4,190,23.8,102,25.7,110,6.1,26,,,,,,,,,,,-5,0,8,0.0,1,5,20.0,2,6,33.3,7,71.4,5,88.9,8,9,-1.7,-1.1,0.7,-2.1,32,1,4.36,27.9,
Maldonado, Martin,455117,2022,88.4,14.7,31.6,19,8.1,6,21.4,29.1,29.9,5.1,40.2,98.987733509,5.59831443,69.1,20.3,31,58.8,41.2,137,233,50,751,78.5,7.1,144,814,535,1504,79.7,105,518,50,750,42.1,632,32.2,49.9,41.9,35,23.1,234,66.5,43.6,102,29.5,69,20.9,49,6,14,39,1.92,1.92,1.93,2,1.48,,1.48,0.75,86,,,,,,,,,,,,,,,,,,,,,,,5.07,22.4,
Chirinos, Robinson,455139,2022,84.8,17.6,30.8,9,6.9,5.4,16.9,32.3,31.5,6.9,33.1,97.472003281,4.774084488,72,21.9,31.1,56.7,42.6,80,141,53.1,453,78.6,4.9,97,541,215,853,77.1,63,288,46.9,400,42.9,366,33.3,50.3,49.2,35.4,15.4,130,63.2,40.8,53,25.4,33,20.8,27,13.1,17,18,2.03,2.03,2.04,3,1.6,1.61,1.59,0.77,78.9,,,,,,,,,,,,,,,,,,,,,,,5.11,23.7,
Cain, Lorenzo,456715,2022,87.9,3.8,21.8,0,0,8.2,19.1,19.1,48.2,5.5,36.4,99.010785455,5.632816636,73.7,17.4,32.2,45,55,45,100,49.9,311,80.5,6.6,82,368,173,623,82.6,40,230,50.1,312,42.7,266,25.8,53,34.5,41.8,23.6,110,66,59.1,65,15.5,17,20,22,5.5,6,,,,,,,,,,,4,0,9,0.0,3,4,75.0,6,6,100.0,9,88.9,8,100.0,2,2,0.5,1.4,-0.5,1.4,35.9,2,4.4,28.3,
Solano, Donovan,456781,2022,88.3,10.7,36.1,13,5.9,6.8,31.1,19.2,31.1,4.6,41.2,98.956029815,5.601690602,66.5,12,32.2,40.5,59.5,75,185,48.9,574,78.7,7.6,92,680,399,1189,88,48,399,51.1,600,41.8,491,20.9,49.5,34.2,38.4,27.4,219,63.7,45.2,99,23.3,51,27.4,60,4.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,25.8,
McCutchen, Andrew,457705,2022,89.1,13.2,36.2,34,8.6,5.8,24.1,26.3,31.9,3,40,99.92693269,6.143160838,68.5,16.8,20.7,49.2,50.8,119,242,49.4,1167,81.3,8.2,226,1376,753,2364,83.2,138,820,50.6,1197,44.5,1052,24.2,44.9,43.3,37,19.7,395,57.4,41.8,165,28.1,111,24.1,95,6.1,24,,,,,,,,,,,0,0,5,0.0,1,2,50.0,2,5,40.0,4,100.0,4,100.0,9,9,-0.7,-0.2,0.5,-0.4,32.9,15,4.38,28.9,
Upton, Justin,457708,2022,88.5,26.5,36,1,4,0,32,40,16,4,32,99.128878333,5.64988375,65.8,28.6,24.1,63,37,17,27,48.9,112,90.9,4.8,26,137,66,229,71.4,22,77,51.1,117,46.3,106,37.5,45.4,48,36,16,25,57.9,32,8,32,8,20,5,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,
Turner, Justin,457759,2022,89.5,18.4,40.6,31,8,6.2,27.1,33.1,22.7,2.6,40.6,99.002545648,5.736858523,70.4,16.1,26.6,31.1,68.9,90,289,50.7,1086,79.4,7.9,203,1350,585,2144,83.9,120,745,49.3,1058,43.6,934,20.3,48.2,34.6,35.7,29.7,387,57.8,32.8,127,33.3,129,27.9,108,5.9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,25.0,
Votto, Joey,458015,2022,89.7,14.2,32.9,25,11.1,3.1,24.9,26.2,30.7,3.1,41.3,100.424827857,6.43276435,70.8,23.1,22.9,49.4,50.6,85,172,50.5,750,84.3,7.7,227,831,420,1505,76.9,120,520,49.5,734,42.5,630,29.6,46.5,37.8,39.1,23.1,225,57.7,44.9,101,31.1,70,20,45,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,25.3,
Andrus, Elvis,462101,2022,87.9,11.9,29.1,20,4.5,3.6,26.9,26,33.6,5,34.8,98.336003699,5.236647643,62.4,14.2,29.4,36.2,63.8,122,337,50.9,1147,66.3,8.4,246,1182,821,2252,85.5,98,689,49.1,1105,41.6,936,21.4,45.6,37.5,38.6,23.9,443,61.2,46.5,206,22.1,98,22.8,101,8.6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,26.0,
Santana, Carlos,467793,2022,90.7,15.4,31.6,32,9.3,7.2,23.8,28.7,28.7,2.3,44.9,100.993708488,6.851060233,63.8,16.9,21.7,34.2,65.8,77,225,50.2,1037,78.2,7.6,408,1132,525,2066,82.9,111,656,49.8,1029,43,889,21.3,42.6,47,34.2,18.8,345,57.6,39.1,135,28.4,98,22.6,78,9.9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68,25.7,
Belt, Brandon,474832,2022,88.4,23.4,38.5,22,12.6,6.3,20.1,35.1,17.8,8,38.5,99.264489048,5.872087679,75.5,24.2,21.2,58.6,39.8,78,133,52.4,626,89.9,6.6,145,799,250,1194,75.3,104,429,47.6,568,41.7,498,32.4,47.1,36.8,33.9,29.3,174,58.9,29.3,51,37.9,66,22.4,39,10.3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,24.3,
Lowrie, Jed,476704,2022,86.2,16.3,26.9,4,3.1,3.8,22.3,36.2,30.8,3.8,30.8,96.195900923,4.129717519,72.9,19.2,23.6,43.8,56.2,39,89,51.9,377,84.3,7,121,433,173,727,80.8,49,255,48.1,350,42.9,312,25.6,47.3,45.4,32.3,22.3,130,54.3,41.5,54,29.2,38,21.5,28,7.7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,25.0,
Brantley Jr., Michael,488726,2022,89.8,10.7,39.5,13,6,6.5,32.1,20.9,30.2,2.8,45.1,99.739801321,6.323002844,62.4,8.9,21.7,23.2,76.8,26,112,51.4,517,59.3,8.1,167,609,230,1006,91.1,27,305,48.6,489,42.6,429,12.7,41.5,37.2,41.9,20.9,215,60.1,44.2,95,22.8,49,30.7,66,2.3,5,,,,,,,,,,,-1,0,4,0.0,0,4,0.0,2,4,50.0,3,100.0,3,100.0,1,1,0,-1.6,0.3,-1.4,33,,4.72,25.2,
Castro, Jason,488771,2022,88.6,10,35.9,2,5.1,10.3,25.6,23.1,33.3,2.6,35.9,98.6215215,5.447724615,69.2,38.1,27.3,52.9,47.1,27,51,50.7,187,88.6,9.5,53,210,106,369,61.9,48,126,49.3,182,42,155,42.4,48,41,35.9,23.1,39,64.8,48.7,19,33.3,13,17.9,7,0,0,11,1.97,1.96,2,1,1.56,,1.56,0.73,81.1,,,,,,,,,,,,,,,,,,,,,,,4.54,26.3,
Gurriel, Yuli,493329,2022,88.2,14.6,30.3,9,1.9,4.4,25.9,32.8,32,2.3,35.6,98.291200127,5.270425297,63.1,8.2,34.9,24.7,75.3,94,381,51.7,1093,75,6.6,232,1211,669,2116,91.8,53,646,48.3,1023,46.6,986,14.3,48.5,29.5,39.4,31.2,475,64,41.7,198,24.6,117,23.8,113,9.9,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,26.9,
Rojas, Miguel,500743,2022,86.1,10.1,33.1,8,1.9,5.6,28.3,23.9,36.5,3.6,27.1,96.249960631,4.126001845,66.2,6.5,30.4,34.4,65.2,97,282,51.2,929,72.4,8,158,1044,612,1816,92.8,38,587,48.8,887,44.3,805,15.5,47.9,32.4,36.5,31.2,414,62.7,47.1,195,19.6,81,26.8,111,6.5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,26.4,
Escobar, Eduardo,500871,2022,88.3,20.6,38.7,35,9.4,8.9,23.7,33.3,21,3.5,37.6,99.290072903,5.799689784,73.6,20.8,33.9,40.7,59.3,154,378,53.4,1115,76.7,6.2,321,1199,567,2089,79.2,149,717,46.6,974,41.8,874,27.7,52.4,40.6,37.9,21.5,372,63.9,30.9,115,32.8,122,26.9,100,9.4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,27.9,
Adrianza, Ehire,501303,2022,84.6,12.6,30.1,1,1.4,1.4,26,24.7,38.4,8.2,21.9,94.938734722,3.55813831,62.2,14.8,26.3,40.7,57.4,22,54,48.6,205,63.9,8.5,76,216,130,422,85.2,20,135,51.4,217,43.6,184,22.2,44.8,43.8,38.4,17.8,73,67.3,50.7,37,17.8,13,20.5,15,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,26.5,
Lagares, Juan,501571,2022,88.4,14.4,40,1,2.2,8.9,24.4,28.9,33.3,2.2,40,98.693379565,5.50569,63.8,16.2,42.4,43.4,54.7,23,53,51.9,125,81,8.7,28,118,95,241,81.1,12,74,48.1,116,37.8,91,27.6,52.7,40,40,20,45,71,35.6,16,24.4,11,33.3,15,6.7,3,,,,,,,,,,,0,0,1,0.0,1,2,50.0,2,3,66.7,0,,0,100.0,2,2,-0.1,2,0.2,2.1,35,,4.49,27.5,
Almonte, Abraham,501659,2022,88.1,14.6,34.8,1,4.3,8.7,21.7,30.4,30.4,4.3,30.4,97.3089975,4.870767391,54.4,18.6,21.9,50,50,8,16,48,73,85.7,9.2,32,73,47,152,81.4,8,43,52,79,36.2,55,27.1,38.8,30.4,47.8,21.7,23,64.9,39.1,9,21.7,5,26.1,6,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-1.1,0,-1.5,32.1,,,26.1,
Pham, Tommy,502054,2022,92.2,7.7,33.2,31,7.9,8.2,23.5,21.7,36,2.3,48.5,102.514437436,7.778101436,60.8,17,21.6,53.1,46.5,138,260,48,1203,74,8,261,1434,805,2505,82.8,135,792,52,1302,43.2,1083,26,42,34.2,39.8,26,392,62.5,48.2,189,22.4,88,24.7,97,4.6,18,,,,,,,,,,,-6,0,20,0.0,1,9,11.1,13,19,68.4,12,83.3,10,70.6,12,17,-0.7,-0.5,0.5,-0.7,32.5,1,4.54,27.9,
Martinez, J.D.,502110,2022,89.1,14.1,42,49,12.5,8.9,23.2,24.2,27.5,3.6,41.7,100.92394699,6.707836352,74.9,21,31.9,48.6,51.4,198,407,53.4,1275,90.9,6.4,228,1366,785,2389,79,175,834,46.6,1114,41.6,993,30.1,51.9,31.6,38.9,29.5,393,63,38.2,150,30.8,121,26.7,105,4.3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68,26.1,
Goldschmidt, Paul,502671,2022,90.8,15.7,31.8,49,11.6,9.9,23.8,24.1,26.9,3.3,47.4,102.244608246,7.440152299,59.7,21.6,25.1,38.2,61.5,135,353,52,1404,66.5,6.7,226,1493,982,2701,78.4,167,774,48,1297,43.3,1169,26.8,41.7,36.3,36.3,27.4,424,60,40.8,173,28.8,122,22.9,97,7.5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,26.2,
Gonzalez, Marwin,503556,2022,88,19.4,34.1,8,5.9,5.9,25.2,29.6,25.9,6.7,37.3,98.901115758,5.629768931,63.1,13.9,37.6,37.7,59.7,60,159,51.5,423,75.7,9,174,401,232,822,85.7,35,251,48.5,398,44.2,363,23.1,50,47.4,28.9,23.7,135,60.4,37.8,51,24.4,33,24.4,33,13.3,18,,,,,,,,,,,2,0,4,0.0,1,2,50.0,3,3,100.0,4,100.0,4,100.0,5,5,2.7,0.6,-0.8,2.4,36.9,,4.55,26.3,
Leon, Sandy,506702,2022,84.3,21.4,39.1,0,0,4.3,32.6,34.8,19.6,8.7,26.1,94.152679545,3.268422093,57,18.9,20.4,41.5,58.5,17,41,51.9,201,78.6,7.2,70,243,73,387,80.2,20,106,48.1,186,47,182,25.2,38,54.3,19.6,26.1,46,61.6,30.4,14,19.6,9,37,17,13,6,14,1.98,1.98,1.97,0,,,,0.67,78.1,,,,,,,,,,,,,,,,,,,,,,,,23.6,
Altuve, Jose,514888,2022,85.9,16.1,35.4,34,7.7,6.6,22.2,25.6,29.7,7.5,29.7,97.300246419,4.671072541,64,10.7,28.7,26,72.6,96,369,55.8,1287,66.8,8,309,1200,799,2308,88.4,70,653,44.2,1021,39.2,905,16.2,44.3,46.9,36.3,16.8,441,62.1,41,181,25.6,113,23.6,104,9.8,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4.23,28.1,
Hernandez, Cesar,514917,2022,84.8,9.3,33.3,11,2.4,4.9,26.6,23.9,33.5,8,29.7,96.449267051,4.257329931,68.7,13.5,25.8,39.4,57.9,119,302,49.4,1170,78.4,7.1,429,1430,509,2368,84.9,111,823,50.6,1198,45.1,1067,20.4,47.5,32.8,35.5,31.7,451,64.7,48.6,219,19.3,87,26.4,119,5.8,26,,,,,,,,,,,1,0,0,,0,0,,0,0,,4,100.0,4,100.0,2,2,,,,,,19,4.26,28.3,
Segura, Jean,516416,2022,87.6,4.3,28.3,13,4.4,4,23.9,17.5,45.1,4,38.4,99.507672313,5.804578639,64.4,11.4,34.7,30.5,69.1,78,256,52.5,738,67,7.3,152,800,454,1406,88.4,49,430,47.5,668,40.5,569,18.5,48.8,25.6,45.8,28.6,297,62.3,56.2,167,15.8,47,20.9,62,7.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.31,27.7,
Marte, Starling,516782,2022,86.8,7.5,38.5,25,6.8,7,25.7,17.1,38.8,4.6,33.9,99.153544837,5.595179373,67.5,16.4,32.8,39.3,59.5,126,321,50.9,978,79.5,6.6,217,1093,610,1920,82.7,104,636,49.1,942,44.8,860,24,49.8,38.8,37.1,24.1,369,62.8,50.1,185,20.1,74,26,96,3.8,14,,,,,,,,,,,-2,0,18,0.0,1,8,12.5,8,11,72.7,14,78.6,11,100.0,21,21,-0.3,-0.3,0.6,0,33.1,13,4.28,28.0,
Culberson, Charlie,518586,2022,85.3,5.9,28.4,1,1.1,9.1,27.3,12.5,38.6,11.4,27.3,95.647602143,3.889355952,76.4,18.8,42.2,51.1,48.9,48,94,50.8,223,80.6,8.2,73,219,147,439,79.4,31,165,49.2,216,41.5,182,30.5,59,38.6,34.1,27.3,88,67.7,58,51,17,15,19.3,17,5.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,27.9,
d'Arnaud, Travis,518595,2022,88.5,11.8,35,26,8.5,6.2,22.5,24.8,32.4,4.6,38.9,99.567378882,5.920566898,70.1,20.5,35.6,39.5,60.5,115,291,50.1,818,72.7,8.5,148,919,560,1633,79.5,117,571,49.9,815,44.1,720,26.9,52.8,38.9,35.6,25.5,306,65.7,45.4,139,25.2,77,22.9,70,6.5,20,33,2,2.01,1.97,2,1.61,1.65,1.57,0.78,82.4,,,,,,,,,,,,,,,,,,,,,,,4.69,26.1,
Donaldson, Josh,518626,2022,90.7,12,34.8,33,9.8,6.3,21.4,26.5,33,2.7,43.3,100.977600417,6.867949761,66.5,27.5,29.4,45.5,54.2,150,330,51.7,1124,78.1,6.3,264,1103,794,2176,72.5,192,698,48.3,1049,43.9,954,33.2,47.3,42.3,39.9,17.9,336,63.9,43.5,146,25.9,87,24.1,81,6.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,25.7,
Freeman, Freddie,518692,2022,91.3,13.6,42.9,51,9.9,8.5,30.4,21.7,27.5,1.5,47.8,100.761588016,7.094269494,74,14.1,27.1,32.5,67.5,128,394,52.8,1454,88.7,6.8,432,1538,783,2755,85.9,136,963,47.2,1301,43.4,1196,19.5,49.3,34.6,35,30.4,517,59.8,38.9,201,28.4,147,29.8,154,2.9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,26.9,
Grandal, Yasmani,518735,2022,90,12.1,30,12,4.8,6.4,24.4,26,36,2.4,40,99.46926856,6.06261824,58.7,14.7,20.7,41.4,58.6,67,162,49.8,784,65.6,7.9,242,935,396,1573,85.3,68,463,50.2,789,40.2,633,21.6,39.7,35.2,34.4,30.4,250,55.3,43.6,109,22,55,27.2,68,7.2,18,27,2.09,2.1,2.06,3,1.64,1.62,1.67,0.76,76.5,,,,,,,,,,,,,,,,,,,,,,,5.26,22.0,
Heyward, Jason,518792,2022,87.6,13.1,26.7,5,4.8,3.8,21.9,27.6,38.1,3.8,38.1,99.795272642,5.960513048,66.5,22.7,30.9,37.9,62.1,33,87,50.9,282,59.5,7.6,80,312,158,558,76.2,41,181,49.1,272,41.5,230,27.8,48.4,51.4,31.4,17.1,105,60.3,45.7,48,21,22,21,22,12.4,13,,,,,,,,,,,1,0,10,0.0,1,2,50.0,5,8,62.5,10,90.0,9,100.0,3,3,0.3,-0.7,-0.2,-0.5,33.5,,4.43,27.0,
LeMahieu, DJ,518934,2022,89.2,3,32.8,21,5.3,6.8,25.8,16.3,42.4,3.3,41.1,99.499628485,6.048075494,54,10.7,24.4,26.6,73.4,69,259,49.3,1060,61.3,7.8,207,1398,530,2152,89.1,63,587,50.7,1088,42.6,916,15.7,39.5,24.8,37.8,37.3,399,63.6,54.6,218,17,68,25.6,102,2.8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,26.4,
Moustakas, Mike,519058,2022,87.6,19.4,36.1,11,6.1,5.6,22.8,36.7,25.6,3.3,33.9,98.852222556,5.461727111,74.2,19.2,37.4,45.9,53.6,107,233,54.2,623,82.4,5.9,196,631,323,1150,80.8,75,391,45.8,527,46.1,530,29.2,54.3,38.3,38.9,22.8,180,56.8,35,63,25.6,46,23.3,42,16.1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,25.0,
Rizzo, Anthony,519203,2022,89.4,19.3,34.2,40,10.9,7.7,21.6,31.7,23.8,4.4,41,99.618112951,6.120579288,64.1,14.9,29.6,38.3,61.7,125,326,52.2,1101,69.9,7.4,386,1140,578,2112,84.7,96,646,47.8,1008,42.3,892,22.8,46.1,45.9,30.9,23.2,366,57.2,33.3,122,35,128,21.6,79,10.1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,25.5,
Romine, Austin,519222,2022,87.2,9.5,22.4,4,4.7,2.4,20,22.4,42.4,7.1,33.3,98.519493659,5.285298415,71.1,24.3,38,50,49,49,98,50.9,258,75.6,8.9,30,311,166,516,75.1,43,177,49.1,249,41.4,210,33.5,53.9,29.4,40,30.6,85,64,55.3,47,21.2,18,14.1,12,9.4,8,18,2.08,2.08,2.04,5,1.58,1.6,1.57,0.8,81.4,,,,,,,,,,,,,,,,,,,,,,,4.85,24.8,
Souza Jr., Steven,519306,2022,83.3,23.6,36.4,0,0,0,27.3,45.5,27.3,0,18.2,90.473553333,1.979872727,68.3,21.4,37.5,66.7,33.3,8,12,43.8,32,80,6.8,11,34,28,73,78.6,6,28,56.2,41,38.4,28,35,54.8,54.5,36.4,9.1,11,63.2,36.4,4,18.2,2,18.2,2,27.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanton, Giancarlo,519317,2022,95,10.8,26.9,51,19.3,4.5,20.5,19.7,34.5,1.1,52.3,107.816149318,10.594697985,62,29,26.8,51.7,48.3,136,263,53.4,982,72.6,7.3,205,1062,569,1841,71,154,531,46.6,856,43,790,36.5,43.1,32.6,41.7,25.8,264,58.1,47,124,24.6,65,20.8,55,7.6,20,,,,,,,,,,,-1,0,7,0.0,1,2,50.0,0,1,0.0,3,33.3,1,100.0,4,4,-1.4,-1.9,0.6,-2.8,30.1,,5.04,24.5,
Vogt, Stephen,519390,2022,87,21,38.9,10,7.9,4,22.2,40.5,21.4,4,27.8,96.256857778,4.21418128,65.4,17.3,30.5,44.9,54.2,53,118,54.2,387,70.9,7.7,117,417,175,714,82.7,37,214,45.8,327,40.5,289,27.1,46.5,41.3,40.5,18.3,126,60.2,31,39,35.7,45,23.8,30,9.5,12,7,2.12,2.11,2.14,2,1.58,1.6,1.57,0.68,72.3,,,,,,,,,,,,,,,,,,,,,,,4.57,25.7,
Perez, Salvador,521692,2022,91.4,17.8,34.8,38,11.2,8,22.4,31,25.1,2.4,49,101.468749294,7.293979056,77,22.2,43.2,44.1,55.9,188,426,58,986,87.6,5.2,185,861,653,1700,77.8,122,550,42,714,39.2,666,31.8,57.4,42.2,35.1,22.7,339,60.7,36.9,125,34.2,116,21.2,72,7.7,26,17,1.99,2,1.99,4,1.48,1.49,1.48,0.7,81.8,,,,,,,,,,,,,,,,,,,,,,,4.78,25.3,
Flores, Wilmer,527038,2022,87.8,20.7,35.7,27,6.3,5.4,24.5,35.9,24.7,3.3,35.4,97.672013814,4.963528089,66.4,12.4,26.6,33.7,66.3,114,338,52.3,1269,74.4,6.9,252,1345,813,2426,87.6,95,768,47.7,1156,42,1018,18.9,45.6,46.6,32.2,21.2,429,64.2,34.7,149,31.5,135,24.2,104,9.6,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,25.2,
Garcia, Avisail,541645,2022,88.7,2.8,27.6,16,6.4,8.8,20,16,42.4,5.6,44.8,101.460367339,7.003346734,82,21.6,40.7,61,39,189,310,55.7,762,87.9,7.2,113,715,539,1367,78.4,107,496,44.3,605,43,588,36.7,59,31.2,42.4,26.4,250,65.8,56,140,22,55,19.6,49,2.4,6,,,,,,,,,,,0,1,17,5.9,2,2,100.0,3,7,42.9,13,76.9,10,100.0,8,8,-1,-1.4,0.7,-1.8,31.1,,4.54,28.3,
