last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_opp_2stars,n_2star_percent,n_fieldout_2stars,n_1star_percent,n_fieldout_1stars,n_opp_1stars,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,
McKinstry, Zach,656716,2022,86.4,12.9,41.4,5,4.3,6,31,25.9,26.7,6,30.2,96.760488421,4.451668761,66.1,13,28.4,38.8,60.3,45,116,51.6,408,72.1,8.6,97,457,231,791,86.6,33,253,48.4,383,40.7,322,21.1,46.6,42.2,27.6,30.2,116,61.1,39.7,46,25,29,31,36,4.3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,28.3,
Mullins II, Cedric,656775,2022,88.8,17.4,29.3,24,4.9,5.9,23,32.4,28.7,4.5,37.3,98.895231356,5.569582691,71.4,16.7,29.7,36.5,63,128,351,48,1182,80.1,8.8,344,1485,630,2460,81.9,152,912,52,1278,43.6,1072,22.2,51.3,41.8,33.2,25,488,59.9,41,200,26.4,129,21.1,103,11.5,56,,,,,,,,,,,8,2,36,5.6,8,17,47.1,12,17,70.6,27,96.3,26,96.7,29,30,-0.5,1,0.5,1.1,35.4,18,4.16,28.5,
O'Hearn, Ryan,656811,2022,92.1,13.4,38,7,7,11,31,19,27,4,48,102.062682041,7.76288949,68,13.2,30.4,50,50,41,82,49.3,270,75,9.5,86,275,187,548,86.8,25,189,50.7,278,39.2,215,24.4,49.5,43,30,27,100,58.9,46,46,21,21,28,28,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-1.5,0.3,-1.7,31.6,,4.54,27.3,
Padlo, Kevin,656821,2022,90.8,16.4,21.7,0,0,8.7,21.7,39.1,26.1,4.3,43.5,102.4780125,7.686507826,71,25,35.7,48,52,12,25,53,70,100,4.5,28,59,45,132,75,11,44,47,62,43.9,58,33.3,52.3,34.8,47.8,17.4,23,52.9,43.5,10,26.1,6,21.7,5,8.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,
Rivera, Emmanuel,656896,2022,90.4,9.8,32.3,23,9.3,6,21,23.8,38.3,1.6,38.3,99.960196371,6.242469274,72.6,16.2,28.1,50,50,94,188,50.6,670,80.4,7.7,155,701,468,1324,83.8,77,475,49.4,654,44.1,584,25.8,50.1,39.1,34.7,26.2,248,63.5,49.2,122,26.2,65,20.6,51,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68,26.9,
Schwarber, Kyle,656941,2022,93.3,19.2,35.4,76,20.1,8.7,17.4,27.7,21.4,4.5,54.4,104.793857287,9.247555372,60.6,22.3,21.7,46.7,52.3,150,321,51.5,1481,70.2,6.3,413,1596,866,2878,77.1,189,847,48.5,1397,44.1,1269,29,40.6,42.5,37.7,19.8,379,59.7,34.3,130,33.8,128,20.6,78,11.3,43,,,,,,,,,,,-13,0,21,0.0,1,12,8.3,3,11,27.3,12,83.3,10,80.0,12,15,-1.2,-1.8,0.8,-2.2,30.8,,4.51,26.4,
Smith, Pavin,656976,2022,87.9,15.2,28.7,18,9.9,3.3,21.5,29.3,30.9,5,35.9,98.397917802,5.251592099,55.9,13.7,24.1,39.1,60.9,54,138,51.6,572,65.4,7,198,560,348,1109,85.7,41,300,48.4,537,44.5,494,21.7,39.5,38.1,35.4,26.5,181,59.8,43.6,79,29.8,54,17.7,32,8.8,16,,,,,,,,,,,0,0,3,0.0,0,1,0.0,3,5,60.0,10,100.0,10,75.0,3,4,-0.2,0,0,-0.3,33.6,,4.57,26.5,
Thomas, Lane,657041,2022,86.4,12.5,32.6,24,6.5,5.7,22.4,26.4,33.2,4.9,34.5,98.449522283,5.255458474,61.6,14.7,25.8,37.1,62.9,103,278,48.8,1076,76,7.6,194,1356,654,2204,85.3,102,695,51.2,1128,42.9,945,21.1,44.1,41.8,34.8,23.5,371,59.5,45.3,168,21.3,79,21,78,12.4,46,,,,,,,,,,,-3,0,20,0.0,0,8,0.0,11,15,73.3,19,94.7,18,76.9,10,13,-0.8,-0.4,0.2,-1,33.3,39,4.38,29.4,
Tucker, Cole,657061,2022,82.4,4.8,39.5,3,7.9,5.3,21.1,18.4,36.8,10.5,23.7,94.314187368,3.434396579,65.7,19.6,26.1,50,50,18,36,49.6,138,87,8.3,32,164,82,278,80.4,18,92,50.4,140,45,125,28.1,46,36.8,34.2,28.9,38,69.8,47.4,18,23.7,9,23.7,9,5.3,2,,,,,,,,,,,-2,0,0,,0,1,0.0,0,0,,2,50.0,1,80.0,4,5,,,,,,,4.35,27.7,
Verdugo, Alex,657077,2022,89.1,8.4,37.8,31,6,7.6,27.3,22.8,33.9,2.3,38.2,99.112574241,5.706486823,64.1,9.6,24.9,32,68,95,297,48,1195,75.9,7.7,427,1432,625,2490,90.4,80,830,52,1295,44.1,1099,15.5,45.3,30.4,41.5,28.1,513,59.8,46.2,237,23,118,26.5,136,4.3,22,,,,,,,,,,,-5,2,27,7.4,3,12,25.0,10,18,55.6,27,88.9,24,87.0,20,23,0.1,-0.5,-0.1,-0.6,32.5,,4.38,26.8,
Wong, Connor,657136,2022,89.8,5.1,20.6,4,11.8,2.9,8.8,20.6,47.1,8.8,32.4,99.758804706,6.271729091,65.1,18.8,33.9,51.3,46.2,20,39,52,115,68.8,7.2,22,143,56,221,79.7,13,69,48,106,39.8,88,30.6,48.9,35.3,41.2,23.5,34,75,64.7,22,17.6,6,11.8,4,5.9,2,15,1.92,1.93,1.92,1,1.57,1.57,,0.76,85.7,,,,,,,,,,,,,,,,,,,,,,,4.33,28.8,
